lng,lat,deliverCapacity,loyalty
51.577972,35.736444,,
51.13715,35.499216,1,1
51.1552198,35.75548434,1,1
51.19847,35.745743,1,1
51.239497,35.683948,1,1
51.286657,35.770467,1,1
51.290025,35.762977,1,1
51.293393,35.767507,1,1
51.303349,35.77051,1,1
51.304457,35.705402,1,1
51.306979,35.707533,1,1
51.306981,35.705829,1,1
51.307325,35.750992,1,1
51.309695,35.768037,1,1
51.310464,35.776412,1,1
51.319205,35.755647,1,1
51.320835,35.702311,1,1
51.321094,35.702889,1,1
51.322372,35.711966,1,1
51.325326,35.766994,1,1
51.32548,35.754124,1,1
51.325556,35.753534,1,1
51.327848,35.673651,1,1
51.327858,35.73018,1,1
51.330354,35.771714,1,1
51.33158,35.779266,1,1
51.333944,35.772857,1,1
51.334712,35.765356,1,1
51.336943,35.755356,1,1
51.340934,35.760505,1,1
51.344504,35.769788,1,1
51.345491,35.719055,1,1
51.347676,35.77597,1,1
51.347695,35.706162,1,1
51.348787,35.768859,1,1
51.349836,35.766543,1,1
51.350331,35.69806,1,1
51.350532,35.782852,1,1
51.350603,35.767359,1,1
51.354626,35.780645,1,1
51.35682,35.732035,1,1
51.357108,35.785532,1,1
51.357229,35.766735,1,1
51.360451,35.704243,1,1
51.36277,35.789732,1,1
51.36373,35.73619,1,1
51.366826,35.705525,1,1
51.368755,35.655159,1,1
51.370599,35.777695,1,1
51.372113,35.703323,1,1
51.372198,35.784498,1,1
51.372764,35.779221,1,1
51.372829,35.768886,1,1
51.373014,35.79074,1,1
51.373749,35.779464,1,1
51.373822,35.695504,1,1
51.373895,35.785227,1,1
51.374575,35.76469,1,1
51.375689,35.784791,1,1
51.378243,35.781552,1,1
51.378564,35.7334,1,1
51.382184,35.781357,1,1
51.383247,35.782728,1,1
51.384316,35.775888,1,1
51.385364,35.789094,1,1
51.385622,35.785371,1,1
51.392163,35.775089,1,1
51.394006,35.760496,1,1
51.396231,35.677765,1,1
51.398027,35.744293,1,1
51.398038,35.758761,1,1
51.399005,35.728778,1,1
51.39974,35.760902,1,1
51.40217,35.712551,1,1
51.403173,35.739582,1,1
51.403811,35.762564,1,1
51.404093,35.730278,1,1
51.404736,35.714996,1,1
51.405376,35.760114,1,1
51.406652,35.694509,1,1
51.407231,35.711775,1,1
51.408392,35.742002,1,1
51.40876,35.740709,1,1
51.409431,35.747322,1,1
51.40945,35.75378,1,1
51.412376,35.766304,1,1
51.41272,35.813175,1,1
51.414134,35.746897,1,1
51.414404,35.774684,1,1
51.415138,35.797297,1,1
51.415238,35.732931,1,1
51.426221,35.712934,1,1
51.430035,35.734472,1,1
51.430964,35.712937,1,1
51.432062,35.80932,1,1
51.432626,35.72219,1,1
51.433813,35.706724,1,1
51.43528,35.800332,1,1
51.437737,35.755575,1,1
51.437812,35.72162,1,1
51.438101,35.689133,1,1
51.439331,35.807402,1,1
51.439367,35.72034,1,1
51.441275,35.75599,1,1
51.441678,35.718802,1,1
51.44712,35.740996,1,1
51.447995,35.743753,1,1
51.448678,35.747329,1,1
51.448825,35.802199,1,1
51.450499,35.74713,1,1
51.450682,35.726601,1,1
51.451296,35.738011,1,1
51.451557,35.801258,1,1
51.453581,35.805576,1,1
51.454606,35.812902,1,1
51.456504,35.707471,1,1
51.456882,35.745725,1,1
51.459874,35.80308,1,1
51.463078,35.81611,1,1
51.465043,35.741534,1,1
51.466913,35.753395,1,1
51.469084,35.795207,1,1
51.47027,35.803724,1,1
51.474214,35.755564,1,1
51.474312,35.803187,1,1
51.476024,35.697234,1,1
51.476116,35.747813,1,1
51.478003,35.803628,1,1
51.478702,35.798676,1,1
51.47939,35.717933,1,1
51.480182,35.713094,1,1
51.480214,35.757241,1,1
51.48055,35.768401,1,1
51.480682,35.809168,1,1
51.48105,35.761324,1,1
51.484051,35.793955,1,1
51.487524,35.736412,1,1
51.489069,35.793069,1,1
51.489797,35.813643,1,1
51.490513,35.714746,1,1
51.50151,35.728842,1,1
51.502864,35.794437,1,1
51.505124,35.790406,1,1
51.510871,35.810049,1,1
51.510908,35.808094,1,1
51.513622,35.758351,1,1
51.524646,35.734191,1,1
51.526628,35.726931,1,1
51.527654,35.726754,1,1
51.528211,35.73681,1,1
51.529733,35.742118,1,1
51.533159,35.731544,1,1
51.534651,35.739439,1,1
51.535408,35.755464,1,1
51.538424,35.744476,1,1
51.538504,35.728747,1,1
51.539246,35.733238,1,1
51.54195,35.746739,1,1
51.546016,35.757476,1,1
